Ontology ID	parent class	label	alternate label	Equivalence axiom	Subclass axiom	definition	definition source	comment	Exact Synonym	term editor
ID	SC % SPLIT=|	AL rdfs:label@en	AL IAO:0000118@en SPLIT=|	EC %	SC % SPLIT=|	AL IAO:0000115@en	A IAO:0000119 SPLIT=|	AL rdfs:comment@en	AL oboInOwl:hasExactSynonym@en SPLIT=|	A dcterms:contributor SPLIT=|
FOODON:03000449	food production	food production stream								https://orcid.org/0000-0001-5275-8866  | https://orcid.org/0000-0002-9578-07888 
FOODON:03000451	food production stream	cattle production stream				A food animal production stream that involves breeding, rearing, and finishing cattle.			cattle production pathway | cattle production system	https://orcid.org/0000-0001-5275-8866  | https://orcid.org/0000-0002-9578-07888 
FOODON:03000452	cattle production stream	beef cattle production stream				A cattle production stream that involves breeding, rearing and finishing of cows intended for beef consumption.				https://orcid.org/0000-0001-5275-8866  | https://orcid.org/0000-0002-9578-07888 
FOODON:03000453	cattle production stream	dairy cattle production stream				A cattle production stream that involves breeding, rearing and management of cattle intended for the production of milk.				https://orcid.org/0000-0001-5275-8866  | https://orcid.org/0000-0002-9578-07888 
FOODON:03000454	food production stream	poultry production stream				A food animal production stream that involves breeding, rearing, and finishing poultry.			poultry production pathway | poultry production system	https://orcid.org/0000-0001-5275-8866  | https://orcid.org/0000-0002-9578-07888 
FOODON:03000455	poultry production stream	broiler chicken production stream				A poultry production stream that involves breeding, rearing and finishing of broiler chickens intended for consumption.				https://orcid.org/0000-0001-5275-8866  | https://orcid.org/0000-0002-9578-07888 
FOODON:03000456	poultry production stream	layer chicken production stream				A poultry production stream that involves breeding, rearing and finishing of layer chickens intended for the production of eggs.				https://orcid.org/0000-0001-5275-8866  | https://orcid.org/0000-0002-9578-07888 
FOODON:03000458	food production stream	egg production stream				A food production stream that involves production and processing of eggs.	https://www.woah.org/fileadmin/Home/eng/Health_standards/tahc/current/chapitre_aw_dairy_cattle.pdf	Typically used in retail and consumption.		https://orcid.org/0000-0001-5275-8866  | https://orcid.org/0000-0002-9578-07888 
FOODON:03000459	food production stream	milk production stream				A food production stream that involves production and processing of milk.		Typically used in retail and consumption.		https://orcid.org/0000-0001-5275-8866  | https://orcid.org/0000-0002-9578-07888 
FOODON:03000460	food production stream	meat production stream				A food production stream that involves production and processing of meat.		Typically used in retail and consumption.		https://orcid.org/0000-0001-5275-8866  | https://orcid.org/0000-0002-9578-07888 
FOODON:03000461	meat production stream	veal meat production stream				A meat production stream that involves production and processing of veal.		Typically used in retail and consumption.		https://orcid.org/0000-0001-5275-8866  | https://orcid.org/0000-0002-9578-07888 
FOODON:03000462	food production stream	swine production stream				A food animal production stream that involves breeding, rearing, and finishing swine.		Typically used in retail and consumption.	swine production pathway | swine production system	https://orcid.org/0000-0001-5275-8866  | https://orcid.org/0000-0002-9578-07888 