Ontology ID	parent class	label	definition	definition source	comment	logical axiom	English syn.	British english syn.	Italian syn.	French syn.	german syn.	spanish syn.	portuguese syn.	see also	cross reference	term editor	class type	curation status	image	Curation notes
ID	SC % SPLIT=|	AL rdfs:label@en	AL IAO:0000115@en	A IAO:0000119 SPLIT=|	AL rdfs:comment@en	SC %	AL oboInOwl:hasExactSynonym@en SPLIT=|	AL oboInOwl:hasExactSynonym@en-BR SPLIT=|	AL oboInOwl:hasExactSynonym@it SPLIT=|	AL oboInOwl:hasExactSynonym@fr SPLIT=|	AL oboInOwl:hasExactSynonym@ge SPLIT=|	AL oboInOwl:hasExactSynonym@es SPLIT=|	AL oboInOwl:hasExactSynonym@pt SPLIT=|	A rdfs:seeAlso SPLIT=|	A oboInOwl:hasDbXref SPLIT=|	A IAO:0000117 SPLIT=|	CLASS_TYPE	AI IAO:0000114	AI schema:image	
FOODON:03411329		grape plant																		
FOODON:00004063	grape plant	red grape plant				'Vitis vinifera'														
FOODON:00004064	grape plant	white grape plant				'Vitis vinifera'														
FOODON:03530087		food product appellation framework																		
FOODON:03530086		Appellation d'origine contrôlée					controlled designation of origin			Appellation d'origine contrôlée | AOC										
FOODON:00004055		Denominación de origen	is part of a regulatory geographical indication system used primarily for foodstuffs such as cheeses, condiments, honey, and meats, among others.	https://en.wikipedia.org/wiki/Denominaci%C3%B3n_de_origen	In wines, it parallels the hierarchical systems of France (1935) and Italy (1963), although Rioja (1925) and Jerez (1933) preceded the full system.[https://en.wikipedia.org/wiki/Denominaci%C3%B3n_de_origen]															
FOODON:03530254		Protected Geographical Status	A legal framework defined in European Union law to protect the names of regional foods.																	
FOODON:03530255		Protected Designation of Origin	A Protected Geographical Status which covers agricultural products and foodstuffs which are produced, processed and prepared in a given geographical area using recognised know-how.																	
FOODON:03530256		Protected Geographical Indication	A Protected Geographical Status which covers agricultural products and foodstuffs closely linked to the geographical area.																	
FOODON:03530257		Traditional Speciality Guaranteed	A Protected Geographical Status which highlights traditional character, either in the composition or means of production.																	
																				
																				
																				
FOODON:03301014	grape based wine or wine-like food product	grape wine	An alcoholic drink made from fermented grapes.	https://en.wikipedia.org/wiki/Wine		'derives from' some 'grape (whole)'								https://www.researchgate.net/publication/253758073_Ontology_building_process_The_wine_domain	SUBSET_SIREN:F1014					
FOODON:03310272	grape wine	red wine	A type of wine made from dark-colored grape varieties.	https://en.wikipedia.org/wiki/Red_wine	"The actual color of the wine can range from intense violet, typical of young wines, through to brick red for mature wines and brown for older red wines."[https://en.wikipedia.org/wiki/Red_wine]	'derives from' some 'red grape (whole)'									SUBSET_SIREN:F10272	http://orcid.org/0000-0002-1816-4260 | http://orcid.org/0000-0002-4366-3088 				
FOODON:03310734	grape wine	rosé wine	A type of grape wine that incorporates some of the color from the grape skins, but not enough to qualify it as a red wine.	https://en.wikipedia.org/wiki/Ros%C3%A9			rosé			rosé					SUBSET_SIREN:F10734					
FOODON:03310273	grape wine	white wine	A wine that is fermented with little or no grape skin contact.	https://en.wikipedia.org/wiki/White_wine	A wine whose color can be straw-yellow, yellow-green, or yellow-gold. It is produced by the alcoholic fermentation of the non-coloured pulp of grapes, which may have a skin of any colour.	'derives from' some 'white grape (whole)'									SUBSET_SIREN:F10273	http://orcid.org/0000-0002-1816-4260 | http://orcid.org/0000-0002-4366-3088 				
FOODON:00004048	grape wine	table wine (US)	A grape wine which is neither fortified, nor sparkling, nor expensive.	https://en.wikipedia.org/wiki/Table_wine										https://www.ecfr.gov/current/title-27/part-4#p-4.21(a)(5)						
FOODON:00004065	Protected Geographical Indication	Table Wine (deprecated EU standard)	A European Union wine category replaced by the Protected Geographical Indication in 2011.	https://en.wikipedia.org/wiki/Table_wine | https://www.wine-searcher.com/wine-label-eu	"The lower of two overall quality categories, the higher of which is Quality Wines Produced in Specified Regions (QWPSR). All levels of national wine classification systems within the EU correspond to either TW or the QWPSR, although the terms that actually appear on wine labels are defined by national wine laws with the EU regulations as a framework."[https://en.wikipedia.org/wiki/Table_wine]		TW													
FOODON:03307296	grape wine	fortified wine	A wine to which a distilled spirit, usually brandy, has been added.	https://en.wikipedia.org/wiki/Fortified_wine											SUBSET_SIREN:F7296					
FOODON:03317393	grape wine	still wine	Wine produced by a method of vinification that leaves it free from carbon dioxide and therefore not sparkling or effervescent.	https://en.wiktionary.org/wiki/still_wine											SUBSET_SIREN:F17393					
																				
FOODON:00002577	grape wine	wine by region																		
																				
																				
																				
FOODON:00004049	Protected Geographical Status	Quality Wines Produced in Specified Regions	A Protected Geographical Status appellation which identifies a wine with either Protected Geographical Indication or a Protected Designation of Origin.	https://en.wikipedia.org/wiki/Quality_Wines_Produced_in_Specified_Regions	"The European Union regulates and defines the status of "quality wines" according to production method, management and geographical location. Its original, fundamental role is in differentiating quality wines from table wines."[https://en.wikipedia.org/wiki/Quality_Wines_Produced_in_Specified_Regions]		QWpsr | Quality Wine psr | quality wines					vino de calidad producido en región determinada | VCPRD								
FOODON:03530258	food product appellation framework	Denominazione di origine controllata	An Italian wine quality assurance label for food products and especially wines (an appellation), and for various formaggi. 	https://en.wikipedia.org/wiki/Denominazione_di_origine_controllata	"It is modelled after the French AOC. It was instituted in 1963 and overhauled in 1992 for compliance with the equivalent EU law on Protected Designation of Origin, which came into effect that year ."[https://en.wikipedia.org/wiki/Denominazione_di_origine_controllata].		controlled origin denomination		Denominazione di origine controllata | DOC						http://www.langual.org/langual_thesaurus.asp?termid=Z0258					
FOODON:00004053	food product appellation framework	Vintners Quality Alliance	A regulatory and appellation system which guarantees the high quality and authenticity of origin for Canadian wines made under that system in British Columbia and Ontario.	https://en.wikipedia.org/wiki/Vintners_Quality_Alliance			VQA													
FOODON:00004054	food product appellation framework	American Viticultural Area	A designated wine grape-growing region in the United States, providing an official appellation for the mutual benefit of wineries and consumers.	https://en.wikipedia.org/wiki/American_Viticultural_Area			AVA							https://www.ecfr.gov/current/title-27/part-4						
FOODON:00004056	food product appellation framework	spanish wine production framework	A food product appellaction framework pertaining to Spanish wine.	https://en.wikipedia.org/wiki/Denominaci%C3%B3n_de_origen#Wine | https://en.wikipedia.org/wiki/Spanish_wine_regions																
FOODON:00004057	Quality Wines Produced in Specified Regions | spanish wine production framework	Denominación de Origen Protegida	The mainstay of Spain's wine quality control system. Each region is governed by a consejo regulador, which decides on the boundaries of the region, permitted varietals, maximum yields, limits of alcoholic strength and other quality standards or production limitations pertaining to the zone.	https://en.wikipedia.org/wiki/Denominaci%C3%B3n_de_origen#Wine	"As of 2019 there are 96 DOPs that are subdivided into DOCa, DO, VP, and VC. The sub-categories can be called DOP, or they can use the traditional terms of DOCa, DO, VP, and VC.  In 2016, the use of the term Denominación de Origen (DO) was updated to Denominación de Origen Protegida (DOP)."[wikipedia]		protected denomination of origin					DOP | denominación de origin | DO								
FOODON:00004058	Denominación de Origen Protegida	Denominación de Origen Calificada	The highest category in Spanish wine regulations, reserved for regions with above-average grape prices and particularly stringent quality controls.	https://en.wikipedia.org/wiki/Denominaci%C3%B3n_de_origen#Wine	"Rioja was the first Spanish region to be awarded DOCa status in 1991, followed by Priorat in 2003. Priorat uses the Catalan language DOQ, for denominació d'origen qualificada. These are the only two regions considered "above" DO status."[wikipedia]		denomination of qualified origin					DOCa								
FOODON:00004059	Denominación de Origen Protegida	Vino de Pago	A special term for high-quality, single-estate Spanish wines which in some cases also have DOP or VC or IGP appellations.	https://en.wikipedia.org/wiki/Denominaci%C3%B3n_de_origen#Wine	"Pago is a Spanish term for a vineyard estate ...This category was formed in 2003."[wikipedia]		estate wine					VP								
FOODON:00004060	Denominación de Origen Protegida	Vino de Calidad con indicación geográfica	A category of spanish wine that does not fully meet the stringent standards of the DOP category, but are above the standards of the IGP category.	https://en.wikipedia.org/wiki/Denominaci%C3%B3n_de_origen#Wine			quality wine with geographic indication					VC								
FOODON:00004061	Protected Geographical Indication | spanish wine production framework	Indicación geográfica protegida	An EU Protected Geographical Indication which includes Spanish wines below the DOP level, and is wine originating from a specific place, a region or a country, which has a certain quality, reputation or other characteristic - including production phases - that can be essentially attributed to its geographical origin, at least one of which takes place in the defined geographical area.	https://en.wikipedia.org/wiki/Denominaci%C3%B3n_de_origen#Wine	"These can use the traditional term Vino de la Tierra (VT)."[wikipedia]		PGI					IGP								
FOODON:00004062	spanish wine production framework	Vino de Mesa	the catch-all at the bottom of the pyramid, for all wine from unclassified Spanish vineyards, and wine that has been declassified by blending. 	https://en.wikipedia.org/wiki/Denominaci%C3%B3n_de_origen#Wine	"This includes both inexpensive jug wines and some expensive wines that are not yet classified due to innovation outside traditional lines."[wikipedia]		table wine					VdM								
																				
																				
																				
FOODON:03311270	wine by region	Beaujolais wine	A French Appellation d'Origine Contrôlée (AOC) wine generally made of the Gamay grape which has a thin skin and is low in tannins.	https://en.wikipedia.org/wiki/Beaujolais												http://orcid.org/0000-0002-8844-9165	subclass	IAO:0000122	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Carte_vignoble_beaujolais.png/356px-Carte_vignoble_beaujolais.png	region
FOODON:00002641	wine by region	Bordeaux wine	Any wine produced in the Bordeaux region of southwest France.	https://en.wikipedia.org/wiki/Bordeaux_wine				claret								http://orcid.org/0000-0002-8844-9165	subclass	IAO:0000122		region
FOODON:00002639	wine by region	Zakynthos wine	Zakynthos Wine is wine produced on the Greek island of Zakynthos (Zante) in the Ionian Sea. A wide array of native Ionian grape varieties have been planted on the island for centuries, and are most famously used to make the intensely flavored, highly acidic Verdea wine.	https://www.wine-searcher.com/regions-zakynthos			zante wine									http://orcid.org/0000-0002-8844-9165	subclass	IAO:0000122		region
FOODON:00002600	grape wine	Reserve wine	Reserve wine is wine of a higher quality than usual, or a wine that has been aged before being sold, or both. Traditionally, winemakers would reserve some of their best wine rather than sell it immediately, coining the term.	https://en.wikipedia.org/wiki/Reserve_wine												http://orcid.org/0000-0002-8844-9165	subclass	IAO:0000122		
FOODON:03311123	wine by region	Chablis wine	Chablis wine is a wine made in the Chablis region of France.	https://en.wikipedia.org/wiki/Chablis_wine												Emma Griffiths	subclass	IAO:0000122		region
																				
																				
FOODON:00002585	red wine	Cabernet Sauvignon wine	A Cabernet Sauvignon wine is any wine produced using only Cabernet Sauvignon grapes. It often appears with Merlot and Cabernet Franc in blended Bordeaux wines.	https://en.wikipedia.org/wiki/Cabernet_Sauvignon		'derives from' some 'Cabernet Sauvignon grape plant'										http://orcid.org/0000-0002-8844-9165	subclass	IAO:0000122		
FOODON:00002640	Vitis vinifera	Cabernet Sauvignon grape plant	The Cabernet Sauvignon grape plant originates from a cross between Cabernet Franc and Sauvignon blanc varieties. It produces Cabernet Sauvignon grapes, a red wine grape variety.	https://en.wikipedia.org/wiki/Cabernet_Sauvignon												Emma Griffiths	subclass	IAO:0000122		
FOODON:00002584	white wine	Chardonnay wine	Chardonnay wine is wine produced using only Chardonnay grapes.	https://en.wikipedia.org/wiki/Chardonnay		'derives from' some 'Chardonnay grape plant'										Emma Griffiths	subclass	IAO:0000122		
FOODON:00002583	Vitis vinifera	Chardonnay grape plant	The Chardonnay grape plant is the result of a cross between the Pinot noir and Gouais blanc (Heunisch) grape varieties. It produces a green-skinned grape variety used in the production of white wine.	https://en.wikipedia.org/wiki/Chardonnay														IAO:0000122		
FOODON:00002586	white wine	Chenin blanc wine	A Chenin blanc wine is any wine produced using only Chenin blanc grapes.			'derives from' some 'Chenin blanc grape plant'										Lauren Tindale	subclass	IAO:0000122		
FOODON:00002587	Vitis vinifera	Chenin blanc grape plant	Chenin blanc grapes are a White wine grape variety from the Loire Valley of France. Its high acidity means it can be used to make everything from sparkling wines to well-balanced dessert wines, although it can produce very bland, neutral wines if the vine's natural vigor is not controlled.	https://en.wikipedia.org/wiki/Chenin_blanc						Pineau de la Loire						Lauren Tindale	subclass	IAO:0000122		
																		IAO:0000122		
FOODON:00002588	red wine	Malbec wine	A Malbec wine is any wine produced using only Malbec grapes.			'derives from' some 'Malbec grape plant'										Lauren Tindale	subclass	IAO:0000122		
FOODON:00002589	Vitis vinifera	Malbec grape plant	Malbec grapes are a purple grape variety used in making red wine. The grapes tend to have an inky dark color and robust tannins, and are known as one of the six grapes allowed in the blend of red Bordeaux wine. The French plantations of Malbec are now found primarily in Cahors in South West France. It is increasingly celebrated as an Argentine varietal wine and is being grown around the world.	https://en.wikipedia.org/wiki/Malbec												Lauren Tindale	subclass	IAO:0000122		
																		IAO:0000122		
FOODON:00002590	red wine	Merlot wine	A Merlot wine is any wine produced using only Merlot grapes.			'derives from' some 'Merlot grape plant'										Lauren Tindale	subclass	IAO:0000122		
FOODON:00002591	Vitis vinifera	Merlot grape plant	Merlot is a dark blue-colored wine grape variety, that is used as both a blending grape and for varietal wines.	https://en.wikipedia.org/wiki/Merlot												Lauren Tindale	subclass	IAO:0000122	https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Merlot_Grape.jpg/320px-Merlot_Grape.jpg	
																		IAO:0000122		
FOODON:00002592	white wine	Pinot blanc wine	A pinot blanc wine is any wine produced using only Pinco blanc grapes.			'derives from' some 'Pinot blanc grape plant'										Lauren Tindale	subclass	IAO:0000122		
FOODON:00002593	Vitis vinifera	Pinot blanc grape plant	Pinot blanc is a white wine grape. It is a point genetic mutation of Pinot noir.	https://en.wikipedia.org/wiki/Pinot_blanc												Lauren Tindale	subclass	IAO:0000122	https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Pinot-blanc.jpg/440px-Pinot-blanc.jpg	
																		IAO:0000122		
FOODON:00002594	white wine	Pinot gris wine	Pinot gris is a white wine varietal produced only from Pinot gris grapes.  The Italian synonym, Pinot Grigio, has become strongly associated with lighter wines produced in great quantities, particularly in northern Italy.	https://www.wine-searcher.com/grape-381-pinot-grigio		'derives from' some 'Pinot gris grape plant'			Pinot Grigio		Grauburgunder					Ginny Pichler	subclass	IAO:0000122	https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Alto_adige_Pinot_grigio.jpg/179px-Alto_adige_Pinot_grigio.jpg	
FOODON:00002595	Vitis vinifera	Pinot gris grape plant	Pinot gris is a white wine grape variety (mutation) of the Pinot family which shares its genetic fingerprint with Pinot Noir, Pinot Blanc et al. . Pinot gris is grown around the globe with the "spicy" full-bodied Alsatian and lighter-bodied, more acidic Italian styles being most widely recognized.	https://en.wikipedia.org/wiki/Pinot_gris					Pinot Grigio grape		Grauburgunder					Ginny Pichler	subclass	IAO:0000122	https://commons.wikimedia.org/wiki/File:Pinot_Gris_close.JPG	
																		IAO:0000122		
