Ontology ID	parent class	label	definition	definition source	comment	logical axiom	English syn.	British english syn.	Italian syn.	French syn.	german syn.	spanish syn.	portuguese syn.	see also	cross reference	term editor	class type	curation status	image	Curation notes
FOODON:00002596	red wine	Pinot noir wine	Pinot noir wine is a red wine varietal made only from Pinot noir grapes.  The thin skins and low levels of phenolic compounds lends pinot to producing mostly lightly colored, medium-bodied and low-tannin wines that can often go through phases of uneven and unpredictable aging.	https://en.wikipedia.org/wiki/Pinot_noir		'derives from' some 'Pinot noir grape plant'				Rulandské modré | Pinot Nero	Blauburgunder | Spätburgunder					Shannon Russell	subclass	IAO:0000122		
FOODON:00002597	Vitis vinifera	Pinot noir grape plant	Pinot noir grape is a red wine grape variety. The name is derived from the French words for pine and black. The word pine alludes to the grape variety having tightly clustered, pine cone-shaped bunches of fruit. Pinot noir grapes are grown around the world, mostly in the cooler climates, and the grape is chiefly associated with the Burgundy region of France.	https://en.wikipedia.org/wiki/Pinot_noir												Shannon Russell	subclass	IAO:0000122	https://en.wikipedia.org/wiki/Pinot_noir#/media/File:Grape_near_Sancerre.jpg	
																		IAO:0000122		
FOODON:00002598	red wine	Pinotage wine	Pinotage wine is a red wine varietal produced only from Pinotage grapes. This type of wine can range from a fairly cheap, light-bodied red wine with some funky aromas (including extremes such as acetone, paint, rubber, and at times banana) all the way to full-bodied red wines with balance, elegance, fully developed black fruit flavors, and an enduring, sweet, smokey finish.	https://www.thespruceeats.com/what-is-pinotage-wine-3511226		'derives from' some 'Pinotage grape plant'										Ginny Pichler	subclass	IAO:0000122	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Stellenbosch_Pinotage.jpg/179px-Stellenbosch_Pinotage.jpg	
FOODON:00002599	Vitis vinifera	Pinotage grape plant	Pinotage is a red wine grape that is South Africa's signature variety. It was bred there in 1925 as a crossbetween Pinot noir and Cinsaut. The grape is a viticultural intraspecific cross of two varieties of Vitis vinifera, not an interspecific hybrid.	https://en.wikipedia.org/wiki/Pinotage												Ginny Pichler	subclass	IAO:0000122	https://i2.wp.com/www.winetwofive.com/wp-content/uploads/2018/06/CEP-TIBOUREN.jpg?resize=128%2C128	
																		IAO:0000122		
FOODON:00002601	white wine	Riesling wine	Riesling wine is a white wine varietal produced only from Riesling grapes, and offered as dry, semi-sweet, sweet, and sparkling white wines. Riesling wines are usually varietally pure and are seldom oaked. 	https://en.wikipedia.org/wiki/Riesling		'derives from' some 'Riesling grape plant'										Ginny Pichler	subclass	IAO:0000122	https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Alsatian_Riesling_.jpg/179px-Alsatian_Riesling_.jpg	
FOODON:00002602	Vitis vinifera	Riesling grape plant	Riesling grape is an aromatic white grape variety displaying flowery, almost perfumed, aromas as well as high acidity.	https://en.wikipedia.org/wiki/Riesling												Ginny Pichler	subclass	IAO:0000122	https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Riesling_grapes_leaves.jpg/320px-Riesling_grapes_leaves.jpg	
																		IAO:0000122		
FOODON:00002603	red wine	Sangiovese wine	Sangiovese wine is a red wine varietal produced only from Sangiovese grapes. It is prized for its high acid, firm tannins and balanced nature. Savory flavors of dark cherries and black stonefruit are characteristic, and may be backed by secondary notes of tomato leaf and dried herbs.	https://www.wine-searcher.com/grape-432-sangiovese		'derives from' some 'Sangiovese grape plant'										Ginny Pichler	subclass	IAO:0000122	https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Sangiovese_wine.jpg/180px-Sangiovese_wine.jpg	
FOODON:00002604	Vitis vinifera	Sangiovese grape plant	Sangiovese is a red Italian wine grape variety that derives its name from the Latin sanguis Jovis, "the blood of Jupiter".	https://en.wikipedia.org/wiki/Sangiovese												Ginny Pichler	subclass	IAO:0000122	https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Sangiovese_close_up_crop.jpg/277px-Sangiovese_close_up_crop.jpg	
																		IAO:0000122		
FOODON:00002605	white wine	Sauvignon blanc wine	Sauvignon blanc wine is a white wine varietal produced only from Sauvignon blanc grapes.  Its primary fruit flavors are lime, green apple, passion fruit and white peach. Depending on how ripe the grapes are when the wine is made, the flavor will range from zesty lime to flowery peach. 	https://winefolly.com/review/sauvignon-blanc-wine-taste-food-pairing/		'derives from' some 'Sauvignon blanc grape plant'	Muskat-Silvaner			Sauvignon jaune | Blanc fume | Fume blanc						Shannon Russell	subclass	IAO:0000122		
FOODON:00002606	Vitis vinifera	Sauvignon blanc grape plant	Sauvignon blanc is a green-skinned grape variety that originates from the Bordeaux region of France. The grape most likely gets its name from the French words sauvage ("wild") and blanc ("white") due to its early origins as an indigenous grape in South West France.	https://en.wikipedia.org/wiki/Sauvignon_blanc												Shannon Russell	subclass	IAO:0000122	https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Sauvignon_blanc_grapes.jpg/360px-Sauvignon_blanc_grapes.jpg	
																		IAO:0000122		
FOODON:00002607	white wine	Semillon wine	Semillon wine is a white wine varietal produced only from Semillon grapes.  The primary fruit flavors in Semillon wine are lemon, apple, pear and green papaya. Semillon is France’s 3rd most planted white wine variety behind Sauvignon Blanc and Chardonnay.	https://winefolly.com/review/have-you-heard-of-semillon-the-3rd-most-important-french-white-wine/		'derives from' some 'Semillon grape plant'				Sémillon wine						Ginny Pichler	subclass	IAO:0000122	https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Late_harvest_Semillon.jpg/179px-Late_harvest_Semillon.jpg	
FOODON:00002608	Vitis vinifera	Semillon grape plant	Semillon is a golden-skinned grape used to make dry and sweet white wines, mostly in France and Australia.	https://en.wikipedia.org/wiki/S%C3%A9millon						Sémillon grape						Ginny Pichler	subclass	IAO:0000122	https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Semillon_starting_to_get_noble_rot_at_Ch%C3%A2teau_Doisy-V%C3%A9drines%2C_Barsac%2C_Sauternes.jpg/160px-Semillon_starting_to_get_noble_rot_at_Ch%C3%A2teau_Doisy-V%C3%A9drines%2C_Barsac%2C_Sauternes.jpg	
																		IAO:0000122		
FOODON:00002609	white wine	Glera wine	Glera wine is a white wine varietal produced only from Glera grapes. 			'derives from' some 'Glera grape plant'	Prosecco wine									Ginny Pichler	subclass	IAO:0000122		
FOODON:00002610	Vitis vinifera	Glera grape plant	Glera is a white variety of grape of Slovenian origin, which was brought to the village of Prosecco from Slovenia's Karst region. Glera was, until 2009, mostly referred to as Prosecco. It is mainly cultivated for use in sparkling Italian wine styles.	https://en.wikipedia.org/wiki/Glera_(grape)			Prosecco grape									Ginny Pichler	subclass	IAO:0000122	https://cdn1.wine-searcher.net/images/grape/glera-(prosecco)-392-1-1.jpg	
																		IAO:0000122		
FOODON:00002611	white wine	Prosecco wine	Prosecco is an Italian white wine varietal produced primarily from Glera grapes, but other grape varieties may be included. Prosecco controlled designation of origin can be spumante ("sparkling wine"), frizzante ("semi-sparkling wine"), or tranquillo ("still wine").	https://en.wikipedia.org/wiki/Prosecco		'derives from' some 'Glera grape plant'			spumante | frizzante | tranquillo							Ginny Pichler	subclass	IAO:0000122	https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Prosecco_di_Conegliano_bottle_and_glass.jpg/151px-Prosecco_di_Conegliano_bottle_and_glass.jpg	
FOODON:00002612	red wine	Syrah wine	Syrah wine is a white wine produced entirely from Syrah grapes.  The wines are often powerfully flavoured and full-bodied.	https://en.wikipedia.org/wiki/Syrah#Shiraz_wines		'derives from' some 'Syrah grape plant'										Ginny Pichler	subclass	IAO:0000122	https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Walla_walla_Syrah.jpg/179px-Walla_walla_Syrah.jpg	
FOODON:00002613	Vitis vinifera	Syrah grape plant	Syrah is a dark-skinned grape variety grown throughout the world and used primarily to produce red wine. In 1999, Syrah was found to be the offspring of two obscure grapes from southeastern France, Dureza and Mondeuse Blanche.	https://en.wikipedia.org/wiki/Syrah			Shiraz									Ginny Pichler	subclass	IAO:0000122	https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Shiraz_Grapes.jpg/320px-Shiraz_Grapes.jpg	
																		IAO:0000122		
FOODON:00002614	red wine	Tempranillo wine	Tempranillo wine is a red wine varietal produced entirely from Tempranillo grapes.	https://en.wikipedia.org/wiki/Tempranillo		'derives from' some 'Tempranillo grape plant'										http://orcid.org/0000-0002-8844-9165	subclass	IAO:0000122		
FOODON:00002615	Vitis vinifera	Tempranillo grape plant	Tempranillo is a black grape variety widely grown to make full-bodied red wines in its native Spain.	https://en.wikipedia.org/wiki/Tempranillo								Ull de Llebre | Cencibel | Tinta del Pais	Aragonez | Tinta Roriz			http://orcid.org/0000-0002-8844-9165	subclass	IAO:0000122		
																		IAO:0000122		
FOODON:00002617	red wine	Zinfandel wine	Zinfandel wine is a red wine varietal produced entirely from Zinfandel grapes.  A classic wine is high in both alcohol and tannins, intensely flavored and deeply colored.	https://www.wine-searcher.com/grape-391-primitivo		'derives from' some 'Zinfandel grape plant'										Ginny Pichler	subclass	IAO:0000122		
FOODON:00002618	Vitis vinifera	Zinfandel grape plant	Zinfandel is a variety of black-skinned wine grape.	https://en.wikipedia.org/wiki/Zinfandel			Primitivo									Ginny Pichler	subclass	IAO:0000122	https://upload.wikimedia.org/wikipedia/commons/f/fc/Zinfandel_grapes.jpg	
																		IAO:0000122		
FOODON:00002619	red wine	Frappato wine	Frappato wine is a red wine varietal produced entirely from Frappato grapes.  As a varietal, Frappato produces light bodied wines with a distinct grapey aroma.	https://en.wikipedia.org/wiki/Frappato		'derives from' some 'Frappato grape plant'			Frappato Nero | Frappato Nero di Vittoria | Frappatu | Frappatu di Vittoria | Nerello| Nerello di Catania | Nero Capitano.							http://orcid.org/0000-0002-8844-9165	subclass	IAO:0000122		
FOODON:00002620	Vitis vinifera	Frappato grape plant	Frappato di Vittoria or Frappato is a red Italian wine grape variety planted primarily in Sicily.	https://en.wikipedia.org/wiki/Frappato					Frappato di Vittoria							http://orcid.org/0000-0002-8844-9165	subclass	IAO:0000122		
																		IAO:0000122		
FOODON:00002621	red wine	Gamay noir wine	Gamay noir wine is a red wine varietal produced entirely from Gamay grapes.	https://en.wikipedia.org/wiki/Gamay		'derives from' some 'Gamay grape plant'										http://orcid.org/0000-0002-8844-9165	subclass	IAO:0000122		
FOODON:00002622	Vitis vinifera	Gamay grape plant	Gamay is a purple-colored grape variety used to make red wines, most notably grown in Beaujolais and in the Loire Valley around Tours.	https://en.wikipedia.org/wiki/Gamay						Gamay Noir à Jus Blanc						http://orcid.org/0000-0002-8844-9165	subclass	IAO:0000122	https://upload.wikimedia.org/wikipedia/commons/3/38/Gamay.jpg	
																		IAO:0000122		
FOODON:00002623	white wine	Gewürztraminer wine	Gewürztraminerwine is a white wine varietal produced entirely from Gewürztraminer grapes.	https://en.wikipedia.org/wiki/Gew%C3%BCrztraminer		'derives from' some 'Gewürztraminer grape plant'										http://orcid.org/0000-0002-8844-9165	subclass	IAO:0000122		
FOODON:00002624	Vitis vinifera	Gewürztraminer grape plant	Gewürztraminer is an aromatic wine grape variety, used in white wines, and performs best in cooler climates.	https://en.wikipedia.org/wiki/Gew%C3%BCrztraminer			Gewürz			Gewurztraminer						http://orcid.org/0000-0002-8844-9165	subclass	IAO:0000122	https://upload.wikimedia.org/wikipedia/en/thumb/1/11/Gewurztraminer_-_raisins_sur_pied_de_vigne.jpg/320px-Gewurztraminer_-_raisins_sur_pied_de_vigne.jpg	
																		IAO:0000122		
FOODON:00002625	red wine	Carignane wine	Carignane wine is a red wine varietal produced entirely from Carignane grapes.	https://en.wikipedia.org/wiki/Carignan		'derives from' some 'Carignane grape plant'										http://orcid.org/0000-0002-8844-9165	subclass	IAO:0000122		
FOODON:00002626	Vitis vinifera	Carignane grape plant	Carignan (also known as Carignane) is a red grape variety of Spanish origin that is more commonly found in French wine but is widely planted throughout the western Mediterranean and around the globe.	https://en.wikipedia.org/wiki/Carignan					Carignano | Bovale Grande			Cariñena | Mazuelo | Samsó | Carinyena				http://orcid.org/0000-0002-8844-9165	subclass	IAO:0000122	https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Carignan_Viala_et_Vermorel.jpg/415px-Carignan_Viala_et_Vermorel.jpg	
																		IAO:0000122		
FOODON:00002627	red wine	Grenache wine	Grenache wine is a red wine varietal produced entirely from Grenache grapes.	https://en.wikipedia.org/wiki/Grenache		'derives from' some 'Grenache grape plant'										http://orcid.org/0000-0002-8844-9165	subclass	IAO:0000122		
FOODON:00002628	Vitis vinifera	Grenache grape plant	Grenache is one of the most widely planted red wine grape varieties in the world.	https://en.wikipedia.org/wiki/Grenache								Garnacha				http://orcid.org/0000-0002-8844-9165	subclass	IAO:0000122	https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Grenache_N.jpg/440px-Grenache_N.jpg	
																		IAO:0000122		
FOODON:00002629	red wine	Barbera wine	Barbera wine is a red wine varietal produced entirely from Barbera grapes.	https://en.wikipedia.org/wiki/Barbera		'derives from' some 'Barbera grape plant'										http://orcid.org/0000-0002-8844-9165	subclass	IAO:0000122		
FOODON:00002630	Vitis vinifera	Barbera grape plant	Barbera is a red Italian wine grape variety that, as of 2000, was the third most-planted red grape variety in Italy (after Sangiovese and Montepulciano). It produces good yields and is known for deep color, full body, low tannins and high levels of acid.	https://en.wikipedia.org/wiki/Barbera												http://orcid.org/0000-0002-8844-9165	subclass	IAO:0000122		
FOODON:00002863	Vitis vinifera	Blaufränkisch grape plant	Blaufränkisch (German for blue Frankish) is a dark-skinned variety of grape used for red wine.	https://en.wikipedia.org/wiki/Blaufr%C3%A4nkisch							Blaufränkisch grape|lemberger | Blauer Limberger | Blue Limberger					http://orcid.org/0000-0002-8844-9165	subclass	IAO:0000122		
FOODON:00002864	red wine	Blaufränkisch wine	A red wine varietal produced entirely from Blaufränkisch grapes.	https://en.wikipedia.org/wiki/Blaufr%C3%A4nkisch		'derives from' some 'Blaufränkisch grape plant'										http://orcid.org/0000-0002-8844-9165	subclass	IAO:0000122		
FOODON:00002868	Vitis vinifera	Mourvèdre grape plant	A red wine grape plant variety that is grown in many regions around the world including the Rhône and Provence regions of France, the Valencia and Jumilla denominaciones de origen of Spain, as well as the Balearic Islands, California and Washington and the Australian regions of South Australia and New South Wales, as well as South Africa.	https://en.wikipedia.org/wiki/Mourv%C3%A8dre			Mourvèdre grape | Mataró | Monastrell					Monastrell				http://orcid.org/0000-0002-8844-9165	subclass	IAO:0000122	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Balzac_noir-mourvedre.jpg/451px-Balzac_noir-mourvedre.jpg	
FOODON:00002869	red wine	Mourvèdre wine		https://en.wikipedia.org/wiki/Mourv%C3%A8dre		'derives from' some 'Mourvèdre grape plant'										http://orcid.org/0000-0002-8844-9165	subclass	IAO:0000122		
																				
FOODON:00004045	grape extract	pressed grape juice	Grape juice which is extracted from grapes using a grape pressing process.	https://en.wikipedia.org/wiki/Pressing_(wine)#Free-run_versus_pressed_juice	Pressed juice often has lower acidity levels, higher potassium and pH level, more phenolic compounds such as tannins and more suspended solids such as natural gum and proteins. [wikipedia:Pressing_(wine)#Free-run_versus_pressed_juice]															
FOODON:00004044	grape extract	free-run grape juice	Grape juice which has been extracted through the process of crushing, the natural break down of the grape cell walls during maceration or fermentation, and/or by the weight of grapes within a tall container.	https://en.wikipedia.org/wiki/Pressing_(wine)#Free-run_versus_pressed_juice																
FOODON:00004046	grape extract	grape pomace	The solid remains of grapes after crushing or pressing, typically containing pulp, skins, stems, and seeds.	https://en.wikipedia.org/wiki/Pomace	"Grape pomace contains the skins, pulp, seeds, and stems of the fruit, and has traditionally been used to produce pomace brandy."     [https://en.wikipedia.org/wiki/Pomace]		marc | grape solids													
FOODON:00001071	grape extract	grape must	A grape berry food product which is the juice of freshly pressed grapes that contains some amount of pulp, skins, stems, and seeds.	https://en.wikipedia.org/wiki/Must#Winemaking	Grape pomace components typically comprises between 7 to 23 percent of the total weight of must. [https://en.wikipedia.org/wiki/Must]															
FOODON:00004039	grape must	destemmed grape must	A grape berry food product which results from crushing whole (destemmed) grapes and which contains grape juice and components of grape pomace.																	
FOODON:00004051	grape must	red wine must	A grape must made from red wine grapes which are substantially macerated.	https://en.wikipedia.org/wiki/Maceration_(wine)		'is specified output of' some ('extended maceration' and 'has specified input' some 'red grape cluster')														
FOODON:00004052	grape must	white wine must	A grape must made from red or white wine grapes and which has insignificant masceration.	https://en.wikipedia.org/wiki/Maceration_(wine)																
FOODON:00004050	grape must	rosé wine must	A grape must made from red wine grapes which are partially macerated.	https://en.wikipedia.org/wiki/Maceration_(wine)		'is specified output of' some ('limited maceration' and 'has specified input' some 'red grape cluster')														
																				